CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
Vol dans / sur véhicule à moteur,2016-05-10,soir,12.0,298191.362,5038819.818,-73.584547,45.489271
Introduction,2016-05-13,jour,21.0,300404.04,5040145.064,-73.556251,45.501214
Vols qualifiés,2016-05-13,jour,12.0,298191.362,5038819.818,-73.584547,45.489271
Introduction,2016-05-15,nuit,7.0,289632.25,5037753.0,-73.694014,45.479538
Vol de véhicule à moteur,2016-05-16,jour,42.0,296723.063,5049752.0,-73.603512,45.587627
Méfait,2016-05-16,soir,12.0,298095.461,5038908.547,-73.585775,45.490069
Introduction,2016-05-17,jour,42.0,296869.781,5049623.0,-73.60163,45.586468
Méfait,2016-05-17,jour,7.0,288356.542,5039184.696,-73.71038,45.492392
Vol de véhicule à moteur,2016-05-17,jour,23.0,301921.988,5045647.117,-73.53686,45.550731
Vol de véhicule à moteur,2016-05-18,nuit,45.0,299520.702,5056811.618,-73.567735,45.651178
Méfait,2016-06-15,jour,12.0,298490.123,5038404.134,-73.58072,45.485533
Vol dans / sur véhicule à moteur,2016-06-17,nuit,48.0,302476.604,5051243.594,-73.529783,45.601092
Méfait,2016-06-17,soir,7.0,289413.516,5042229.119,-73.696952,45.519811
Vol dans / sur véhicule à moteur,2016-06-19,jour,8.0,288793.594,5034192.0,-73.704626,45.447476
Méfait,2016-06-20,jour,46.0,299675.192,5050910.873,-73.565691,45.598083
Méfait,2016-06-26,nuit,44.0,298477.153,5045850.864,-73.580982,45.552542
Introduction,2016-06-26,nuit,39.0,294501.188,5052060.0,-73.632036,45.608366
Méfait,2016-06-16,soir,8.0,291275.438,5033370.0,-73.672875,45.440131
Introduction,2016-02-11,soir,45.0,296586.648,5054326.141,-73.605337,45.628785
Introduction,2016-05-11,nuit,21.0,300305.975,5040211.87,-73.557507,45.501814
Vol de véhicule à moteur,2016-05-16,jour,46.0,300968.964,5052666.239,-73.549121,45.613887
Vol dans / sur véhicule à moteur,2016-06-21,nuit,20.0,299817.354,5039377.056,-73.563751,45.494299
Vol dans / sur véhicule à moteur,2016-06-26,jour,27.0,293417.063,5045272.75,-73.645777,45.547275
Introduction,2015-12-12,soir,45.0,297681.102,5055920.099,-73.591324,45.64314
Introduction,2015-12-13,jour,46.0,299675.192,5050910.873,-73.565691,45.598083
Méfait,2015-12-14,jour,27.0,293090.809,5046844.153,-73.649992,45.56141
Vols qualifiés,2015-12-14,soir,27.0,292373.913,5045342.964,-73.659137,45.547889
Méfait,2015-12-14,soir,27.0,292660.309,5045747.043,-73.65548,45.55153
Vol de véhicule à moteur,2017-02-08,soir,30.0,295506.26,5047473.554,-73.619063,45.56711
Méfait,2017-02-21,jour,44.0,298015.279,5046049.512,-73.5869,45.554325
Méfait,2017-02-21,jour,44.0,298015.279,5046049.512,-73.5869,45.554325
Méfait,2017-04-02,jour,30.0,296646.592,5046740.024,-73.604442,45.560524
Méfait,2017-04-13,jour,30.0,295969.415,5047181.915,-73.613124,45.564492
Introduction,2017-04-25,jour,44.0,298625.894,5045784.985,-73.579076,45.55195
Méfait,2015-12-16,jour,27.0,292660.309,5045747.043,-73.65548,45.55153
Vol de véhicule à moteur,2017-02-09,jour,46.0,299141.42,5051031.626,-73.572534,45.599166
Vol de véhicule à moteur,2017-02-09,jour,39.0,294349.625,5052266.5,-73.633983,45.610222
Introduction,2017-02-10,jour,15.0,298188.317,5034752.15,-73.584531,45.452668
Introduction,2017-02-10,jour,46.0,299675.192,5050910.873,-73.565691,45.598083
Vol de véhicule à moteur,2017-02-10,jour,8.0,290844.62,5034267.939,-73.678408,45.448203
Vols qualifiés,2017-02-10,soir,46.0,299675.192,5050910.873,-73.565691,45.598083
Vol de véhicule à moteur,2017-02-12,nuit,21.0,300888.757,5041237.501,-73.550058,45.511047
Introduction,2017-02-15,jour,46.0,299141.42,5051031.626,-73.572534,45.599166
Vols qualifiés,2017-02-15,soir,12.0,298191.362,5038819.818,-73.584547,45.489271
Méfait,2017-02-18,soir,12.0,298245.098,5038753.66,-73.583859,45.488676
Introduction,2017-02-20,jour,7.0,289941.883,5042653.716,-73.690202,45.523643
Vol de véhicule à moteur,2017-02-21,soir,42.0,296661.906,5049790.5,-73.604296,45.587973
Vol dans / sur véhicule à moteur,2017-02-21,soir,21.0,300740.728,5040849.072,-73.551949,45.507551
Vol de véhicule à moteur,2017-02-24,nuit,15.0,298100.949,5034904.95,-73.58565,45.454042
Méfait,2017-02-26,nuit,12.0,298191.362,5038819.818,-73.584547,45.489271
Vol dans / sur véhicule à moteur,2017-02-26,soir,15.0,298539.508,5038325.416,-73.580087,45.484825
Vol de véhicule à moteur,2017-02-28,nuit,11.0,295165.984,5036516.435,-73.623207,45.468509
Vol dans / sur véhicule à moteur,2017-03-06,jour,23.0,301808.927,5045698.823,-73.538308,45.551196
Introduction,2017-04-03,soir,8.0,288160.875,5034219.5,-73.712715,45.447708
Vol dans / sur véhicule à moteur,2017-04-06,jour,15.0,298188.317,5034752.15,-73.584531,45.452668
Vol dans / sur véhicule à moteur,2017-04-06,jour,46.0,299675.192,5050910.873,-73.565691,45.598083
Méfait,2017-04-08,nuit,22.0,301053.605,5041557.162,-73.54795,45.513924
Vol dans / sur véhicule à moteur,2017-04-08,soir,48.0,303121.861,5050970.635,-73.521511,45.598638
Vol dans / sur véhicule à moteur,2017-04-09,soir,46.0,299675.192,5050910.873,-73.565691,45.598083
Introduction,2017-04-11,jour,12.0,298191.362,5038819.818,-73.584547,45.489271
Méfait,2017-04-11,soir,46.0,298281.656,5053189.5,-73.583583,45.618575
Introduction,2017-04-12,jour,11.0,295562.18,5036263.433,-73.618135,45.466238
Introduction,2015-03-14,soir,44.0,298158.386,5045330.094,-73.585057,45.547853
Vol dans / sur véhicule à moteur,2015-03-20,jour,7.0,289317.1384,5037884.733,-73.698049,45.480716
Introduction,2015-01-04,nuit,22.0,300910.192,5043374.598,-73.5498,45.530277
Vol dans / sur véhicule à moteur,2015-01-06,soir,7.0,289959.031,5038612.5,-73.68986,45.487279
Vol de véhicule à moteur,2015-01-15,soir,5.0,286009.859,5034484.319,-73.740224,45.450037
Vol dans / sur véhicule à moteur,2015-01-16,nuit,26.0,294021.501,5038487.543,-73.637887,45.486229
Vol de véhicule à moteur,2015-01-29,soir,8.0,287386.553,5035839.13,-73.722671,45.462264
Vol de véhicule à moteur,2015-01-29,soir,8.0,287386.553,5035839.13,-73.722671,45.462264
Vol de véhicule à moteur,2015-02-01,jour,7.0,289317.1384,5037884.733,-73.698049,45.480716
Vol de véhicule à moteur,2015-02-01,jour,7.0,289566.881,5038191.736,-73.694864,45.483484
Introduction,2015-02-03,soir,5.0,285800.406,5033530.5,-73.742865,45.441448
Vol de véhicule à moteur,2015-02-06,jour,7.0,292350.41,5041569.168,-73.659343,45.513931
Introduction,2015-02-08,jour,44.0,298996.086,5046690.659,-73.574345,45.560103
Vol de véhicule à moteur,2015-02-10,jour,7.0,292502.0584,5041894.186,-73.65741,45.516858
Introduction,2015-02-12,jour,42.0,297349.938,5049080.0,-73.595468,45.581587
Méfait,2015-02-14,jour,44.0,298371.083,5045678.095,-73.582338,45.550986
